Designator,Val,Package,MidX,MidY,Rotation,Layer
"BOOT","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",134.250000,-65.000000,90.000000,top
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",165.962500,-80.800000,0.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.000000,-63.500000,180.000000,top
"C3","220nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.162500,-88.000000,0.000000,top
"C4","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.000000,-52.562500,90.000000,top
"C5","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.200000,-58.000000,180.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.500000,-53.500000,0.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.000000,-53.500000,180.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",117.500000,-81.010000,180.000000,top
"C9","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",117.500000,-83.000000,180.000000,top
"C10","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.400000,-78.000000,90.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.000000,-69.875000,-90.000000,top
"C12","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",167.000000,-83.762500,90.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",165.000000,-83.762500,90.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.212500,-69.250000,180.000000,top
"D1","D_Schottky","D_SOD-123F",156.500000,-51.000000,0.000000,top
"D2","D_TVS","D_SMB",161.500000,-53.500000,-90.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.200000,-46.000000,180.000000,top
"D4","D_TVS","D_SOD-323_HandSoldering",144.000000,-86.250000,180.000000,top
"D5","D_TVS","D_SOD-323_HandSoldering",144.000000,-88.250000,180.000000,top
"EN","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",134.250000,-74.625000,-90.000000,top
"FB1","FerriteBead_Small","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",152.000000,-51.000000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",161.000000,-42.320000,180.000000,top
"J2","JST_PH2.0_01x04","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",134.750000,-91.250000,0.000000,top
"J3","JST_PH2.0_01x04","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",140.500000,-46.000000,180.000000,top
"J4","GPIO0","PinHeader_1x06_P2.54mm_Vertical",117.170000,-49.250000,90.000000,top
"J5","GPIO1","PinHeader_1x06_P2.54mm_Vertical",117.460000,-86.500000,90.000000,top
"R1","270R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",145.205000,-45.995000,0.000000,top
"R2","10kR","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.000000,-88.000000,0.000000,top
"R3","10kR","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.750000,-73.250000,0.000000,top
"R4","5.1kR","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",153.650000,-46.000000,0.000000,top
"R5","5.1kR","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",153.650000,-43.800000,0.000000,top
"R6","10kR","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.500000,-79.125000,0.000000,top
"R7","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.000000,-59.000000,0.000000,top
"R8","2.2kR","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",127.750000,-80.000000,180.000000,top
"R9","2.2kR","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.000000,-80.000000,0.000000,top
"U1","LSM6DSL","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",145.750000,-68.412500,90.000000,top
"U2","LIS2MDL","LGA-12_2x2mm_P0.5mm",158.837500,-82.150000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",144.300000,-52.450000,90.000000,top
"U4","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",122.200000,-68.360000,90.000000,top
